Incident Date,State,City Or County,Address,Latitude,Longitude,# Killed,# Injured,featureID,URL
24-Jun-18,Texas,San Antonio,NW Loop 410,29.5208955,-98.4968339,0,0,149084,http://www.gunviolencearchive.org/incident/1149084
24-Jun-18,Texas,San Antonio,222 N New Braunfels Ave,29.4220508,-98.4608629,1,0,149008,http://www.gunviolencearchive.org/incident/1149008
23-Jun-18,Texas,San Antonio,4553 N Loop 1604 W,29.5959933,-98.5742907,1,0,148100,http://www.gunviolencearchive.org/incident/1148100
22-Jun-18,Texas,San Antonio,I-35,31.6105949,-97.104834,0,0,147609,http://www.gunviolencearchive.org/incident/1147609
21-Jun-18,Texas,San Antonio,Chihuahua St and Hamilton St,29.4169619,-98.5329769,1,0,148104,http://www.gunviolencearchive.org/incident/1148104
17-Jun-18,Texas,San Antonio,400 block of S Olive St,29.4159094,-98.4717758,0,1,143231,http://www.gunviolencearchive.org/incident/1143231
17-Jun-18,Texas,San Antonio,18360 Blanco Rd,29.6107682,-98.5066704,0,1,143107,http://www.gunviolencearchive.org/incident/1143107
15-Jun-18,Texas,San Antonio,200 block of Gorman,29.426651,-98.4684999,0,1,142098,http://www.gunviolencearchive.org/incident/1142098
13-Jun-18,Texas,San Antonio,138 N Ww White Rd,29.432767,-98.4051017,0,1,140832,http://www.gunviolencearchive.org/incident/1140832
12-Jun-18,Texas,San Antonio,2600 block of Bermuda Dr,31.105324,-97.7621217,1,0,140907,http://www.gunviolencearchive.org/incident/1140907
11-Jun-18,Texas,San Antonio,400 block of Mercedes St,32.679875,-97.4680644,1,0,138496,http://www.gunviolencearchive.org/incident/1138496
9-Jun-18,Texas,San Antonio,7100 block of Harlow Dr,29.4965934,-98.4183493,0,1,136848,http://www.gunviolencearchive.org/incident/1136848
9-Jun-18,Texas,San Antonio,19126 Redland Rd,29.6197974,-98.4589323,0,0,136745,http://www.gunviolencearchive.org/incident/1136745
7-Jun-18,Texas,San Antonio,2900 block of Rigsby Ave,29.3979323,-98.409299,0,1,134992,http://www.gunviolencearchive.org/incident/1134992
5-Jun-18,Texas,San Antonio,N New Braunfels Ave and NE I-410 Loop,29.5166669,-98.4590224,0,1,134651,http://www.gunviolencearchive.org/incident/1134651
4-Jun-18,Texas,San Antonio,800 block of John Adams Dr,29.4703889,-98.5567707,0,1,132438,http://www.gunviolencearchive.org/incident/1132438
3-Jun-18,Texas,San Antonio,4934 NW Loop 410,29.4873758,-98.5832985,0,1,132244,http://www.gunviolencearchive.org/incident/1132244
3-Jun-18,Texas,San Antonio,10362 Sahara Drive,29.5303168,-98.4922298,0,3,132392,http://www.gunviolencearchive.org/incident/1132392
2-Jun-18,Texas,San Antonio,300 block of Susanwood Drive,29.4225038,-98.4018171,0,1,131613,http://www.gunviolencearchive.org/incident/1131613
2-Jun-18,Texas,San Antonio,1600 block of S Hamilton Ave,29.4115362,-98.533688,0,1,132206,http://www.gunviolencearchive.org/incident/1132206
1-Jun-18,Texas,San Antonio,San Fernando St and San Horacio Ave,29.4256598,-98.5618947,1,1,131111,http://www.gunviolencearchive.org/incident/1131111
31-May-18,Texas,San Antonio,Division Ave,29.3795546,-98.5151959,0,0,129893,http://www.gunviolencearchive.org/incident/1129893
31-May-18,Texas,San Antonio,8030 Bandera Rd,29.5188369,-98.6334203,0,0,134837,http://www.gunviolencearchive.org/incident/1134837
30-May-18,Texas,San Antonio,2000 block of El Paso St,29.4200229,-98.5223883,0,1,128638,http://www.gunviolencearchive.org/incident/1128638
29-May-18,Texas,San Antonio,9440 I-10W,29.5274215,-98.5597386,0,3,128995,http://www.gunviolencearchive.org/incident/1128995
29-May-18,Texas,San Antonio,238 N Loop 1604,29.6081197,-98.4939667,0,0,129000,http://www.gunviolencearchive.org/incident/1129000
27-May-18,Texas,San Antonio,8210 Marbach Rd,29.4174266,-98.6508415,0,1,126704,http://www.gunviolencearchive.org/incident/1126704
27-May-18,Texas,San Antonio,9504 Perrin Beitel Rd,29.5265766,-98.4107014,0,1,126577,http://www.gunviolencearchive.org/incident/1126577
25-May-18,Texas,San Antonio,1900 block of Horal St,29.4143914,-98.6554989,0,1,125452,http://www.gunviolencearchive.org/incident/1125452
24-May-18,Texas,San Antonio,W Mulberry Ave and Michigan Ave,29.4567458,-98.5119171,0,0,125528,http://www.gunviolencearchive.org/incident/1125528
22-May-18,Texas,San Antonio,5100 block of Sierra Madre Dr,29.5491576,-98.3937303,0,1,123046,http://www.gunviolencearchive.org/incident/1123046
21-May-18,Texas,San Antonio,417 Spriggsdale Blvd,29.4166756,-98.438839,0,2,121986,http://www.gunviolencearchive.org/incident/1121986
21-May-18,Texas,San Antonio,6100 block of Pow Wow Dr,29.4636692,-98.607218,0,2,121977,http://www.gunviolencearchive.org/incident/1121977
19-May-18,Texas,San Antonio,4618 Walzem Rd,29.509064,-98.4012939,0,0,121748,http://www.gunviolencearchive.org/incident/1121748
18-May-18,Texas,San Antonio,3000 block of Moonrise Dr,29.4372625,-98.5824615,0,1,120651,http://www.gunviolencearchive.org/incident/1120651
17-May-18,Texas,San Antonio,9559 Airport Blvd,29.5263576,-98.4731956,0,0,118801,http://www.gunviolencearchive.org/incident/1118801
14-May-18,Texas,San Antonio,1946 NE Interstate 410 Loop,29.5142294,-98.4314778,1,0,115629,http://www.gunviolencearchive.org/incident/1115629
14-May-18,Texas,San Antonio,600 block of S Pine St,29.4132818,-98.470101,1,0,116454,http://www.gunviolencearchive.org/incident/1116454
13-May-18,Texas,San Antonio,7414 W Military Dr,29.4158835,-98.6294427,0,1,114799,http://www.gunviolencearchive.org/incident/1114799
12-May-18,Texas,San Antonio,Chickering Ave and Vista Rd,29.394593,-98.435354,0,2,113939,http://www.gunviolencearchive.org/incident/1113939
11-May-18,Texas,San Antonio,1500 block of Cupples Rd,29.3934018,-98.549743,0,1,113639,http://www.gunviolencearchive.org/incident/1113639
10-May-18,Texas,San Antonio,7300 block of Harlow Dr,29.4986065,-98.418318,1,0,112120,http://www.gunviolencearchive.org/incident/1112120
10-May-18,Texas,San Antonio,NW Loop 410,29.5208955,-98.4968339,0,1,112096,http://www.gunviolencearchive.org/incident/1112096
9-May-18,Texas,San Antonio,1000 block of Canton Street,32.7714631,-96.8007932,1,0,112099,http://www.gunviolencearchive.org/incident/1112099
7-May-18,Texas,San Antonio,1200 block of Vanderbilt St,29.389684,-98.4543853,0,2,112104,http://www.gunviolencearchive.org/incident/1112104
6-May-18,Texas,San Antonio,1500 block of Hays St,31.759327,-95.6129215,0,1,109460,http://www.gunviolencearchive.org/incident/1109460
5-May-18,Texas,San Antonio,16000 block of FM 211,29.7812312,-95.9513114,1,0,108518,http://www.gunviolencearchive.org/incident/1108518
3-May-18,Texas,San Antonio,6800 block of Brookvale Dr,29.4796154,-98.6239135,0,1,107240,http://www.gunviolencearchive.org/incident/1107240
2-May-18,Texas,San Antonio,7207 Snowden Rd,29.5023982,-98.5894407,1,1,105604,http://www.gunviolencearchive.org/incident/1105604
1-May-18,Texas,San Antonio,Vermont St and Ferndale St,29.3784836,-98.5236577,1,0,104363,http://www.gunviolencearchive.org/incident/1104363
28-Apr-18,Texas,San Antonio,6218 S New Braunfels Ave,29.3652841,-98.4555998,0,1,102674,http://www.gunviolencearchive.org/incident/1102674
27-Apr-18,Texas,San Antonio,1375 Austin Hwy,29.4914107,-98.4396368,0,2,101321,http://www.gunviolencearchive.org/incident/1101321
26-Apr-18,Texas,San Antonio,4848 Goldfield Dr,29.4835008,-98.3969985,1,0,100623,http://www.gunviolencearchive.org/incident/1100623
25-Apr-18,Texas,San Antonio,5700 Midcrown Dr,29.4908537,-98.3790066,0,1,100157,http://www.gunviolencearchive.org/incident/1100157
